Country,Region,City,Name,Street,Zip,Latitude,Longitude
Dominican Republic,NaN,NaN,Punto IKEA La Romana,NaN,NaN,18.54953581273243,-68.96072462380586
Egypt,NaN,Cairo,IKEA Cairo Festival City,"Ring Road, 5th settlement",NaN,30.0300061,31.40763136350509
Egypt,NaN,Giza,IKEA Mall of Arabia,Mall of Arabia,NaN,30.00853896960704,30.974877541275628
Estonia,NaN,Kurna,IKEA Tallin,NaN,NaN,59.34084804912045,24.82807569995692
Finland,NaN,Espoo,IKEA Espoo,Espoontie 21,NaN,60.2187635,24.6619818
Finland,NaN,Kuopio,IKEA Kuopio,Ratarinteenkatu 2,NaN,62.8245234,27.6053001969524
Finland,NaN,Raisio,IKEA Raisio,Itäniityntie 15,NaN,60.494661,22.2287419
Finland,NaN,Tampere,IKEA Tampere,Leppästensuonkatu 4,NaN,48.41765805,-4.441792774888863
Finland,NaN,Vantaa,IKEA Vantaa,Porttisuontie 18,NaN,60.2767911,25.08438095163229
France,NaN,VEDENE,IKEA Avignon,100 CHEMIN DU PONT BLANC,NaN,43.97828055,4.891090036200591
France,NaN,SAINT PIERRE D'IRUBE,IKEA Bayonne,2-4 Avenue du Pourtou,NaN,47.3406614,5.064350672866016
France,NaN,BORDEAUX-LAC,IKEA Bordeaux,"AVENUE DES 40 JOURNAUX,",NaN,44.8869485753873,-0.5647654764122715
France,NaN,GUIPAVAS,IKEA Brest,LES CHAMPS DE COATAUDON,NaN,48.9874997,2.2123186
France,NaN,FLEURY SUR ORNE,IKEA Caen,970 rue de Suisse Normande,NaN,49.14564783332391,-0.3650004598718202
France,NaN,CLERMONT FERRAND,IKEA Clermont-Ferrand,19 Boulevard Louis Chartoire,NaN,45.80400712235082,3.138846455329071
France,NaN,DIJON,IKEA Dijon,1 RUE DE CRACOVIE,NaN,48.8693222,2.3257834
France,NaN,EVRY,IKEA Evry,LE CLOS AUX POIS - LISSE,NaN,48.596303500000005,2.4391948184878784
France,NaN,FRANCONVILLE,IKEA Franconville,337/339 RUE DU GENERAL LECLERC,NaN,50.6496069,2.97718537598007
France,NaN,SAINT MARTIN D'HERES,IKEA Grenoble,150 AV GABRIEL PERI,NaN,45.18109825,5.775247455117047
France,NaN,HENIN BEAUMONT,IKEA Hénin-Beaumont,BD OLOF PALME,NaN,49.14999425,6.188020000387743
France,NaN,Paris,IKEA La Madeleine,23 BLD DE LA MADELEINE,NaN,43.60416745,3.923994950220648
France,NaN,MARSEILLE,IKEA La Valentine,ZAC LA VALENTINE - LA RAVELLE,NaN,47.7314542,7.282639
France,NaN,Lomme,IKEA Lille,RUE GRAND BUT,NaN,50.6496069,2.97718537598007
France,NaN,VENISSIEUX,IKEA Lyon - Grand Parilly,9 rue Simone VEIL,NaN,43.70637085,7.1950778989475
France,NaN,LA MAXE,IKEA Metz,RUE DU TROU AUX SERPENTS,NaN,47.8273918,1.91882220496194
France,NaN,Montpellier,IKEA Montpellier,1 Place de Troie,NaN,43.60416745,3.923994950220648
France,NaN,Morschwiller-le-bas,IKEA Mulhouse,Place Du Renne,NaN,48.8293765,1.967870305463642
France,NaN,SAINT HERBLAIN CEDEX,IKEA Nantes,POLE ATLANTIS - BP 137,NaN,49.2579391,3.9641633857915006
France,NaN,Nice,IKEA Nice St. Isidore,AVENUE PIERRE DE COUBERTIN,NaN,43.70637085,7.1950778989475
France,NaN,Ardon,IKEA Orléans,ZAC DE LIMERE- RD POINT DE SOLOGNE,NaN,47.8273918,1.91882220496194
France,NaN,ROISSY CHARLES DE G,IKEA Paris Nord,176 AVENUE DE LA PLAINE DE FRANCE,NaN,48.975398,2.494204181352458
France,NaN,PLAISIR,IKEA Plaisir,202 RUE HENRI BARBUSSE,NaN,48.8293765,1.967870305463642
France,NaN,THILLOIS,IKEA Reims,ZAC NORD THILLOIS,NaN,49.2579391,3.9641633857915006
France,NaN,Pace,IKEA Rennes,RIVE OUEST - 14 AVENUE DES TOUCHES,NaN,48.137484,-1.7634654625391817
France,NaN,Paris,IKEA Rivoli,144 RUE DE RIVOLI,NaN,48.8605081,2.3425212
France,NaN,TOURVILLE LA RIVIERE,IKEA Rouen,AVENUE GUSTAVE PICARD,NaN,49.332239,1.097049048780491
France,NaN,SAINT ETIENNE,IKEA Saint-Étienne,RUE JEAN HUSSE,NaN,45.44899127331029,4.419046168806572
France,NaN,Strasbourg,IKEA Strasbourg,28 PLACE DES ABATTOIRS,NaN,48.6004206,7.730646377384712
France,NaN,Thiais,IKEA Thiais,3 RUE DE LA RESISTANCE,NaN,48.75915965,2.3852859067324834
France,NaN,TOULON,IKEA Toulon - La Valette-du-Var,ZAC DE VALGORA - BP 515,NaN,43.141795,6.0111300954225335
France,NaN,Roques SUR GARONNE,IKEA Toulouse,9 ALLEE DE FRAIXINET,NaN,43.51705992201068,1.3766607245484273
France,NaN,Tours,IKEA Tours,RUE DESIRE LECOMTE,NaN,47.3759939,0.7180565690451637
France,NaN,VELIZY VILLACOUBLAY,IKEA Velizy,3 RUE DU PETIT CLAMART,NaN,48.7835019,2.2241969812027493
France,NaN,VILLIERS SUR MARNE,IKEA Villiers,"33,35 RUE JEAN JAURES",NaN,48.82806802031709,2.530108384293914
